"timestamp_iso","prueba_id","tipo_pista","contador","estado","posicion_qtr","error_qtr","correccion_pid","vel_izq_pwm","vel_der_pwm","vel_base_pwm","linea_perdida","s0_cal","s1_cal","s2_cal","s3_cal","c0_raw","c1_raw","c2_raw","c3_raw","ip_robot","rssi_dbm","uptime_ms","observaciones"
"2026-06-03T19:35:03.159Z","prueba_001","pista_linea_negra","395","desviado_der","2415","915","88","178","2","90","0","4","12","721","513","50","132","2913","2112","192.168.137.29","-49","199976",""
"2026-06-03T19:35:03.665Z","prueba_001","pista_linea_negra","396","centrado","1550","50","-26","83","135","109","0","5","695","851","7","46","2690","3471","32","192.168.137.29","-45","200480",""
"2026-06-03T19:35:04.169Z","prueba_001","pista_linea_negra","397","centrado","1761","261","-122","-26","200","96","0","30","654","805","247","66","2510","3270","1053","192.168.137.29","-48","200981",""
"2026-06-03T19:35:04.664Z","prueba_001","pista_linea_negra","398","centrado","1141","-359","148","200","-55","93","0","459","783","739","1","1942","3020","2981","10","192.168.137.29","-47","201481",""
"2026-06-03T19:35:05.165Z","prueba_001","pista_linea_negra","399","centrado","1424","-76","-238","-148","200","90","0","122","752","858","29","305","2861","3474","112","192.168.137.29","-48","201981",""
"2026-06-03T19:35:05.665Z","prueba_001","pista_linea_negra","400","desviado_der","1906","406","85","175","5","90","0","127","424","788","506","531","1782","3222","2099","192.168.137.29","-51","202482",""
"2026-06-03T19:35:06.167Z","prueba_001","pista_linea_negra","401","desviado_der","2427","927","857","200","-200","90","0","18","31","762","568","150","207","3088","2313","192.168.137.29","-50","202982",""
"2026-06-03T19:35:06.667Z","prueba_001","pista_linea_negra","402","desviado_der","2795","1295","276","200","-186","90","0","0","5","118","458","49","101","566","1898","192.168.137.29","-51","203483",""
"2026-06-03T19:35:07.169Z","prueba_001","pista_linea_negra","403","centrado","1314","-186","-35","55","125","90","0","260","705","821","5","448","2707","3344","16","192.168.137.29","-51","203984",""
"2026-06-03T19:35:07.669Z","prueba_001","pista_linea_negra","404","centrado","1714","214","636","200","-200","90","0","42","631","790","175","149","2433","3211","639","192.168.137.29","-53","204486",""
"2026-06-03T19:35:08.171Z","prueba_001","pista_linea_negra","405","centrado","1751","251","536","200","-200","90","0","14","363","817","56","89","1474","3313","199","192.168.137.29","-56","204987",""
"2026-06-03T19:35:08.675Z","prueba_001","pista_linea_negra","406","centrado","1533","33","4","94","86","90","0","23","741","849","9","86","2831","3429","19","192.168.137.29","-57","205488",""
